CONTENT,from_user_description
RT @bsindia: #BharathBandh : #Opposition divided over ways to protest #demonetization today https://t.co/9lcHBuqMVa https://t.co/9U31soohOW,"commando in procastination.impulsive always almost ,setting new lows in disappointing people each day  checkout : Livingit.in not into followbacks"
"Bhakts routine*Wakeup: Eat*Term 10 Common man questioning #demonetization as Terrorist *Never answer,Talk &amp; tweet like crap*Sleep","Tamilan | First Generation Entrepreneur| PSG CAS Alumni | MBA grad from Staffordshire university,UK. Enthusiastic management freak, AIADMK & AMMA favorite."
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,
"Hi @ArvindKejriwalWhen can we see/hear your next ads on tv, newspaper &amp; radio?#demonetization","comedy, sarcasm, trolling, Photoshop
RT = RT, tweet = tweet, 1+1=2, Tweet & RT ? endorsement *Tweets are sarcastic especially Photoshop edits* tweets in fav"
RT @CoinTelegraph: #India Dreams Of Cashless Society As #Demonetization Nightmare Unfolds https://t.co/3bZwCh2boD #CashlessIndia,"I SACRIFICE,
I WORK HARD,
I WORK SMART,
I AM PROFESSIONAL,
I AM BUILDING MY EMPIRE,
I AM THE MASTER OF MY DESTINY,
I AM AN 
              ENTREPRENEUR"
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !","You are valuable and irreplaceable..If you are ever told otherwise , do not believe it..Keep ??"
"RT @dhume: If you're in India, how do you feel about #demonetization after three weeks?","Anti-kerjruddin,firm believer of Modi .
Defender of India.Nationalist .Proud Bhakt.Aaptards commies stay away. Love studying science and engg."
RT @life_hacker23: Jan Dhan accounts before and after #Demonetization https://t.co/S0XL4jqgHP,"Mechanical engineer , social media writer
my thought : Doing mistake is not a problem , doing same mistake again & again  it ll leads to a problem"
The JBS Bus Stud &amp; Econ Daily is out! https://t.co/eK75OmldAS #theworldin #demonetization,"Business Studies & Economics Dept @KingsBruton. Independent, HMC, co-ed, boarding/day school for pupils aged 13-18 in Somerset, UK. Celebrating 500yrs in 2019."
RT @CoinTelegraph: #India Dreams Of Cashless Society As #Demonetization Nightmare Unfolds https://t.co/3bZwCh2boD #CashlessIndia,"Countess of Crypto, digital currencies enthusiast and sometimes just down right annoying! ??
come down into my dungeon I wanna show you something ????????"
RT @BSLMF: Dont let that increased balance due to #demonetization sit idle. 6 month plans for short term goals.https://t.co/ot0RZunT7R(1,Make.Believe
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",
RT @BSLMF: Increased account balance due to #demonetization? 18 month to 3 yrs plans to help accomplish your goals. https://t.co/wqJIkUkiH,Make.Believe
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,
#Demonetization Will Impact Amazon's Growth In India https://t.co/XD50VQVUd9,"Analyst, Blogger, Coder, Designer, Editor, Futurist, Gadgetist, Hacker & an Internet person"
RT @assassinsps: #???_???_??_????? must  watch @ArvindKejriwal @AamAadmiParty #kejriwalFreeIndia #KejriKaJuth #demonetization #ModiFightsCo,"Marketeer by Profession, Pro Spiritual and Hindu thoughts and work towards upliftment for All."
RT @Chopsyturvey: Telangana CM K. Chandrashekar Rao extends full support to PM @narendramodi 's #Demonetization  move https://t.co/Ve3CWucG,"working at akashvani bhopal
, an MPian, proud indian. No leaning,i have my own wings :)"
RT @BSLMF: Dont let that increased balance due to #demonetization sit idle. 6 month plans for short term goals.https://t.co/ot0RZunT7R(1,"Relationships Manager - Birla Sun Life Mutual Fund.
I enjoying Bird watching , a nature conservator and passionate about Wildlife & Nature photography."
RT @BSLMF: Make that increased account balance due to #demonetization work. Upto 18 month plans for your goals. https://t.co/EVNcsJXXGb(1,"Relationships Manager - Birla Sun Life Mutual Fund.
I enjoying Bird watching , a nature conservator and passionate about Wildlife & Nature photography."
RT @BSLMF: Increased account balance due to #demonetization? 18 month to 3 yrs plans to help accomplish your goals. https://t.co/wqJIkUkiH,"Relationships Manager - Birla Sun Life Mutual Fund.
I enjoying Bird watching , a nature conservator and passionate about Wildlife & Nature photography."
"RT @BSLMF: Catch @MFBALA, CEO Birla Sun Life Mutual Fund, live on Periscope, as he helps you learn about #demonetization and how to use idl",I am a poltician
RT @BSLMF: #Demonetization causing an increase in your account balance? Over 3 yrs plans to help achieve your goals. https://t.co/uPpdzbGF,"Relationships Manager - Birla Sun Life Mutual Fund.
I enjoying Bird watching , a nature conservator and passionate about Wildlife & Nature photography."
RT @assassinsps: #???_???_??_????? must  watch @ArvindKejriwal @AamAadmiParty #kejriwalFreeIndia #KejriKaJuth #demonetization #ModiFightsCo,
@PanKumawat it's important to criticize someone when he does a mistake. #demonetization is a huge blunder. Intentional mistake rather.,"Dreamer turned engineer, entrepreneur, writer, model and actor with a Bollywood calling. Foodie, movie buff, tech lover, fashion freak & wanderlust. Live happy!"
RT @ajaymaken: #JanAkroshMarch on #DemonetizationMassive Protest March yesterday!Great enthusiasm!Many thanks to Congress workers and l,
Promote your business and no need to worry about losing business due to #DeMonetization . Join today Help grow your business#B2B #Directory,"#Find #Local #Services #Products & #Personnel . Indian #BusinessDirectory #FreeClassifieds #FreeAds, #Advertise #Online #B2B #DigitalIndia #MakeinIndia #JaiHind"
RT @life_hacker23: Jan Dhan accounts before and after #Demonetization https://t.co/S0XL4jqgHP,Ek Bewafa
RT @assassinsps: #???_???_??_????? must  watch @ArvindKejriwal @AamAadmiParty #kejriwalFreeIndia #KejriKaJuth #demonetization #ModiFightsCo,"Sexoholic, Music, Food, Travel, Message me for Fadu sex chat"
RT @ByRakeshSimha: Top 10 currencies counterfeited. Indian #Rupee at No3. @FATFNews report. @narendramodi #demonetization well timed. https,
"RT @PseudoLifee: Hyderabad 6arrested printing fake currency newly introduced Rs 2,000 notes https://t.co/m3LpdYsWbV ?? #Demonetization #???",
RT @teenageee: RBI takes surprise action to soak up liquidity https://t.co/25AQQ0FzXS #demonetization #demonetizationImpact #RBI,"Human Being, eMarketer, Foodie, Loves Adventure, Books and Blogs"
RT @LGIndiaTweets: LG Cashless bonanza! Buy #LG OLED TV at zero payment along with 60 Days EMI holiday #NoCashNoWorries #Demonetization htt,I am a poltician
RT @ajaymaken: #JanAkroshMarch on #DemonetizationMassive Protest March yesterday!Great enthusiasm!Many thanks to Congress workers and l,
RT @ShashiTharoor: More disquieting news for those who naively hoped that @PMOIndia had done its homework&amp;planning b4 #demonetization:http,
@MamataOfficial Now people too have taken a #DraconianDecision JUST LIKE @narendramodi ji... to be with him for https://t.co/24bV331S0Z,Jai JAWAN! Jai KISAN! Jai HIND!????
The latest Conveyancing CMS News ! https://t.co/mSsX9u1Qtp #demonetization #queues,Conveyancing Marketing Services provides very competitive conveyancing quotes from solicitors throughout the UK - visit our website or call 01638 576478 today
The latest NEXTwebsite! https://t.co/CXQ38EYtaB #demonetization #queues,"Entrepreneur, Art director, Visual artist, UI designer, Poet. https://t.co/UsjiKk0LFQ  (painting)   https://t.co/0jfuc6Ub3I   (poetry)"
RT @AkashvaniAIR: PM shared that demand for ATM is coming from small villages too. #Demonetization,"Vegetarian,Software Engineer by profession & Political Activist by conscience.Proud Indian"
RT @LillyMaryPinto: Telangana Chief Minister K. Chandrashekar Rao extends his full support to PM Modi's #Demonetization  move Jai Ho?? http,#Peace! No to Drug(OH) #Yes_to_Life! Born To Fight! #Life_Is_a_Journey_Not_A_Destination! Stay +ve!  || #Modified || Go Green! || #?????????? ||
"Hyderabad 6arrested printing fake currency newly introduced Rs 2,000 notes https://t.co/m3LpdYsWbV ?? #Demonetization #???_???_??_?????",Baba ka Ashirvad--Dodho Nahao Pooto Phalo #Ashirvad liye bina gaye to #Paap #Baba #Shrap dete hai IamOkInNarak #????????? NonPoliticalBaba??
"RT @confess2gaurav: I guess, preparations for tomorrow's #bharatbandh against #demonetization are badly hit due to currency shortage. Total","Writer, Poet, Fan of Ishant sharma, Wanderer"
RT @ajaymaken: #JanAkroshMarch on #DemonetizationMassive Protest March yesterday!Great enthusiasm!Many thanks to Congress workers and l,
RT @assassinsps: #???_???_??_????? must  watch @ArvindKejriwal @AamAadmiParty #kejriwalFreeIndia #KejriKaJuth #demonetization #ModiFightsCo,"A Manager by profession, an Entrepreneur by Choice, a vocal person by nature, & a dreamer 4 lifetime. Learning to Learn and seeking Opportunities ;-)"
Who are most affected by Government #demonetization decision ?,UI & UX Designer
The plank on which @BJP4India should hav been attacked is how #demonetization has not impacted it or its benefactors while poor hav suffered,"Indian, Malayali, Christian & Passionate abt #tech #Payments #HumanRights #Environment #Movies #Books. searching for the ideal system"
"RT @JaiPoswal1995: Due to #Demonetization Maoists collapsed, highest no surrender after 8th Nov@HinduRajyam https://t.co/eDxuRFNmlL",Swachh Bharat | support Buddha & Yudha |RT's not endorsement.
RT @SirJadeja: Modi Leela Exposed All #BlackMoney Holders. ;)  #?????_??_????? #DemonetizationBenefits #Demonetization #DeMonetisation ht,
RT @ajaymaken: #JanAkroshMarch on #DemonetizationMassive Protest March yesterday!Great enthusiasm!Many thanks to Congress workers and l,"Live as if you were to die tomorrow; learn as if you were to live forever.....
I will not let anyone walk through my mind with dirty feet."
RT @assassinsps: #???_???_??_????? must  watch @ArvindKejriwal @AamAadmiParty #kejriwalFreeIndia #KejriKaJuth #demonetization #ModiFightsCo,But It's not weird to #StaySingle
"RT @Devinder_Sharma: While the nation suffers the trauma of #demonetization, Govt allows tax evaders to keep 50% of their black money. http","Adherence to Socialism, Communism, Marxism with Social Conscience 2stand 4Humanitarian values. Admire HSRA, NBS"
"In first polls announced after #Demonetization, BJP doing well in Maharashtra &amp; Gujarathttps://t.co/tObTknCvnA","Sr Director/South Asia, BowerGroupAsia. Politics, economics & business in Asia. All tweets = my opinion"
"If it #demonetization had struck black money, Government would not have come up with 50% Tax+Penalty Scheme of toda https://t.co/b22679cAko","Liberal, Anti-Fanatics, Atheist, Argumentative, Finance Professional..... ??? ??? ??, ???? ??? ?? ???? ???? ?????;  ?? ????? ???, ??? ?????? ???? ?? ?????"
RT @ajaymaken: #JanAkroshMarch on #DemonetizationMassive Protest March yesterday!Great enthusiasm!Many thanks to Congress workers and l,I am student nd social worker (help for helpless people )
RT @SirJadeja: PM Narendra Modi Trolls WB CM Mamata Banerjee With Politeness.RT &amp; Spread If U Like It#BlackMoney #Demonetizationhttps:/,
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,
RT @SirJadeja: PM Narendra Modi Trolls WB CM Mamata Banerjee With Politeness.RT &amp; Spread If U Like It#BlackMoney #Demonetizationhttps:/,Volunteer in the Art of living NGO.. like to travel trekking meditation
"RT @mdbaid: Incompetence of modi is d reason for national loss, occurred due to ill prepared #demonetization#???_???_??_????? https://t.co","Nooruddin Siddiqui Regarded as one of the foremost corporate leaders of contemporary India, the Director of ABS,Aramco Business Solution Pvt Ltd"
Our basic concept of Jurisprudence that the 100 culprits may let go free but no innocent should be punished #demonetization,"Follow me, I'll follow you back. I tweet mostly about the films, politics and current affairs"
RT @aroonpurie: The new money laundrys. How #demonetization birthed a shadow economy that rinses black money into white https://t.co/WRJuAL,"Demographer, Development professional"
"RT @dhume: If you're in India, how do you feel about #demonetization after three weeks?",Avid reader...believes in saying my mind and give it as it comes. RT are not always acceptance or confirmation .....
RT @aartic02: #Demonetization in a Booming Economy is Like Shooting at the Tyres of a Racing Car. No no what ever Modi does is ??https://t,"Jo Insaaf Ki Baat Karega, Wohi Dilon Pe Raaj Karega.// Jo Dilon Pe Raaj Karega, Wohi Dilli Pe Raaj Karega"
RT @ajaymaken: #JanAkroshMarch on #DemonetizationMassive Protest March yesterday!Great enthusiasm!Many thanks to Congress workers and l,RTs aren't endorsement.
@ArvindKejriwal Gujarat against #Demonetization Massavie AAP wave in Gujarat.Wins0/32seats in civic polls.Big blow https://t.co/wDDigjLuVt,
#news #summary: how will  #india's  #demonetization  #move  #affect  #apple? https://t.co/ORNtpSfnRx,"#discover, #read and #share summarized #news and #articles."
RT @ajaymaken: #JanAkroshMarch on #DemonetizationMassive Protest March yesterday!Great enthusiasm!Many thanks to Congress workers and l,
Top 10 currencies counterfeited. Indian #Rupee at No3. @FATFNews report. @narendramodi #demonetization well timed. https://t.co/Bt7xC2I8oh,"Columnist @ Russia Beyond The Headlines, Moscow. Advisory Board @ Modern Diplomacy, EU. Journalist @ NZealand. Cited by President Kalam in book Advantage India"
RT @assassinsps: #???_???_??_????? must  watch @ArvindKejriwal @AamAadmiParty #kejriwalFreeIndia #KejriKaJuth #demonetization #ModiFightsCo,"That awkward moment when you realize that deleting History is more important than creating History 
@ravirathore #student of LLB 

















@namo"
RT @assassinsps: #???_???_??_????? must  watch @ArvindKejriwal @AamAadmiParty #kejriwalFreeIndia #KejriKaJuth #demonetization #ModiFightsCo,
Debating on #demonetization on @ZeeBusiness earlier this evening at 8:30 pm on #BigStoryBigDebate https://t.co/siF8Cf3QC0,"Doctor (Eye Specialist) by Profession,Spokesperson of Janata Dal (United)"
RT @assassinsps: #???_???_??_????? must  watch @ArvindKejriwal @AamAadmiParty #kejriwalFreeIndia #KejriKaJuth #demonetization #ModiFightsCo,#Entrepreneur #Creative #Filmy #Producer #Traveller #Wildlife #Photography #Politics #exjourno #NoBusinessLikeShowBusiness !!! Think BIG Dream BIG
RT @assassinsps: #???_???_??_????? must  watch @ArvindKejriwal @AamAadmiParty #kejriwalFreeIndia #KejriKaJuth #demonetization #ModiFightsCo,A patriotic and positive middle class citizen of Bharath. Views are personal.volunteering at volunteer for a better India.Devotee of Sri Sri Ravi Shankar Ji.
News - Watch how Media tricks exposed by this women #demonetization: https://t.co/r1iW4TojsE via @YouTube,
@TheVijayMallya @YouTube sir U exists... Hope all Currency is Converted.. rembr #Demonetization,Hard Core Indian.... RT may not be endorsment........
RT @assassinsps: #???_???_??_????? must  watch @ArvindKejriwal @AamAadmiParty #kejriwalFreeIndia #KejriKaJuth #demonetization #ModiFightsCo,
RT @SirJadeja: PM Narendra Modi Trolls WB CM Mamata Banerjee With Politeness.RT &amp; Spread If U Like It#BlackMoney #Demonetizationhttps:/,
"RT @mdbaid: Incompetence of modi is d reason for national loss, occurred due to ill prepared #demonetization#???_???_??_????? https://t.co",
RT @Chopsyturvey: Mamata Kejriwal were originally anti corrupt. How come they are most affected by #Demonetization  ???? https://t.co/1GswdEW,
RT @assassinsps: #???_???_??_????? must  watch @ArvindKejriwal @AamAadmiParty #kejriwalFreeIndia #KejriKaJuth #demonetization #ModiFightsCo,"Proud INDIAN, Proud MODI bhakt...Biggest craziest PULKHOLIC Fan of @pulkitsamrat & @yamigautam & trust me I'm engineer."
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,
Impact of #demonetization was such that 1lac iPhones were sold within 3 days of announcement. Never expected people will park money there,Digital content Junkie. Startup and kickstarter supporter. Telecom Industry follower. Spreading smiles & being happy by the+for the+of the tech. ???? ?? Peace?
RT @jamewils: 4th Thread Here I compare the #Demonetization done in 1977-78 with the present one in the liquidity point of viewhttps://t,"sap bw consultant ,hardcore follower of chiru from childhood till last breadth.
interests are movies,politricks,cricket,technology especially in analytics"
RT @LillyMaryPinto: Telangana Chief Minister K. Chandrashekar Rao extends his full support to PM Modi's #Demonetization  move Jai Ho?? http,
RT @ajaymaken: #JanAkroshMarch on #DemonetizationMassive Protest March yesterday!Great enthusiasm!Many thanks to Congress workers and l,"convenier South Delhi loksabha (IT cell)
Delhi Pardesh Congress Committee
Member of Transport Comethy
Delhi pardesh congress Committee"
RT @assassinsps: #???_???_??_????? must  watch @ArvindKejriwal @AamAadmiParty #kejriwalFreeIndia #KejriKaJuth #demonetization #ModiFightsCo,
"RT @mdbaid: Incompetence of modi is d reason for national loss, occurred due to ill prepared #demonetization#???_???_??_????? https://t.co","Khudi ko kar buland itna ke har taqder se pehle
Khuda bande se khud pooche bata teri raza kya hai, Allama Iqbal"
The latest Business Development Daily! https://t.co/LlU26MCHMr #demonetization #queues,"I am a Founding Partner of the John Maxwell Team & certified leadership & youth development trainer, coach & speaker, from faith-based to schools and local gov."
Black money holders please give money to Banks as @RBI is unable to meet supply of our demands...No money in any A https://t.co/YbATxQT5sa,"Political Enthusiast, Social Media Blogger, Marketing Professional"
"RT @mdbaid: Incompetence of modi is d reason for national loss, occurred due to ill prepared #demonetization#???_???_??_????? https://t.co","With @INCIndia & #RG 
| Tweets Are Personal | Executive Member~ @MumCongress SM | Characters Are Too Less 4 My Bio, 1 Day It Will Be Published | ??????????????"
RT @STR_360: @sri50 talks on huge success of #AYM even after #Demonetization effect!! ??#AchchamYenbadhuMadamaiyada @iam_str https://t.co/,Coimbatore
#cashlessindia #demonetization then why issuing 2000 note,"Banker, Insurance Advisor, Tech lover."
RT @ZeadingOfficial: Dr. Ayon Bhattacharjee's new take on the side-effects of #Demonetization is totally spot on! Take a joyful ride... htt,"Computer science undergrad, author, Founder of @CourseCannon. Wants the world to #helplearnbetter."
RT @ajaymaken: #JanAkroshMarch on #DemonetizationMassive Protest March yesterday!Great enthusiasm!Many thanks to Congress workers and l,"biggest fan of Ajay Devgan , Har Har Mahadev 
follow back 
ata majhi satakli 
mujme he dum,"
The latest Big Reveal! https://t.co/6IusjTZqRA #demonetization #queues,"'I can't predict for him, still waiting myself for reason's horses to declare the outcome' - Tom's Soldiers, Bernard O'Donoghue"
RT @assassinsps: #???_???_??_????? must  watch @ArvindKejriwal @AamAadmiParty #kejriwalFreeIndia #KejriKaJuth #demonetization #ModiFightsCo,"I wanna freak rather than fake
fashion freak,  Gym lover love to watch adventure movies diehard fan of @Akhsaykumar"
"#Demonetization :-Politically : GoodFinancially : LossLegally : Scam""People will bear , Rich will Share""#DeMonetisationDisaster",". . . . discovering myself.
. . . . redefining the life.
but no complications, keep everything in simple way."
RT @PahwaSandy: Dats true .Before #demonetization it was 7.30 which has been reduced to 4.25 @kapsology @ArvindKejriwal https://t.co/mYZ9WT,~~~Arvind Kejriwal's Fan~~~                        SAP CONSULTANT
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",
RT @LGIndiaTweets: LG Cashless bonanza! Buy #LG OLED TV at zero payment along with 60 Days EMI holiday #NoCashNoWorries #Demonetization htt,Mechanical Engineer
RT @ajaymaken: #JanAkroshMarch on #DemonetizationMassive Protest March yesterday!Great enthusiasm!Many thanks to Congress workers and l,Jai Shanidev
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",
#Indian #Tax #demonetization #economy   The new Tax policy  Demonetisation https://t.co/PAKnXmL0cq,"Born in Mumbai, currently a student at IIM C"
RT @RoshniLongjam: #ModiNoteGate Bihar BJP Bought acres of land just before #Demonetization https://t.co/oUHPAffHIQ,"sujit kumar (secretary) Dwarka Vidhansabha (youth Congress)
my mobile no 9899228857"
RT @assassinsps: #???_???_??_????? must  watch @ArvindKejriwal @AamAadmiParty #kejriwalFreeIndia #KejriKaJuth #demonetization #ModiFightsCo,Talk to me
#India Dreams Of #Cashless Society As #Demonetization Nightmare Unfolds: &lt;![CDATA[ How do https://t.co/BqTq0njk48,??????? ????E?I??YO?????E ???????
What a DEMONizing effect of #DEMONetization on #BlackMoney and #FakeCurrencies?,
#Demonetization 'Cash Crash' Policy that is slowly crippling India.,"Social entrepreneur,Women's rights Activist.Advocate of peace,non violence &equality.Keen interest in spiritual studies.Avid traveller,poet &healer"
@ndtv @PMOIndia Has terrorism reduced after #demonetization? Condolences to families. Nation needs answers from lea https://t.co/6NYMn7zA3Y,Iconoclast. Believes in disbelief. Loaths Cynicism. Eternal Optimist.
"RT @JanatadalU: Clear evidence of black money used to buy land for @BJP4India before #demonetization, sharing records after #demonetization","Campaign Manager - AAP, Goa || Retweets are not endorsement || I blindly follow    @Arvindkejriwal as he has won over my trust."
RT @aartic02: #Demonetization in a Booming Economy is Like Shooting at the Tyres of a Racing Car. No no what ever Modi does is ??https://t,?????????? ?? ?? ?? ??? - ???????? ????????
RT @ShashiTharoor: More disquieting news for those who naively hoped that @PMOIndia had done its homework&amp;planning b4 #demonetization:http,"Management Student at IIT Kharagpur , Interested in Politics , Tweets are personal."
RT @BSLMF: Make that increased account balance due to #demonetization work. Upto 18 month plans for your goals. https://t.co/EVNcsJXXGb(1,believe...Execute.
RT @NewspointTv: No consideration on extension of December 30 deadline for deposit of old #notes: Government#Demonetization,
RT @ajaymaken: #JanAkroshMarch on #DemonetizationMassive Protest March yesterday!Great enthusiasm!Many thanks to Congress workers and l,"social activist || social media,IT cell @Delhipcc"
RT @ajaymaken: #JanAkroshMarch on #DemonetizationMassive Protest March yesterday!Great enthusiasm!Many thanks to Congress workers and l,"Khudi ko kar buland itna ke har taqder se pehle
Khuda bande se khud pooche bata teri raza kya hai, Allama Iqbal"
RT @jairajp: In other news @timesofindia removed much publicized #DeMonetization Survey bcoz 72% said Badly Executed in spite of Bhakts tr,
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,punjab aapka
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,
RT @ajaymaken: #JanAkroshMarch on #DemonetizationMassive Protest March yesterday!Great enthusiasm!Many thanks to Congress workers and l,
RT @AAr201020: How much ppl want to be positive about #demonetization but fact of the matter is no black money in substantial amount impoun,follow me at my main account. @srujanstoner https://t.co/HUIWUBlHtv
RT @assassinsps: #???_???_??_????? must  watch @ArvindKejriwal @AamAadmiParty #kejriwalFreeIndia #KejriKaJuth #demonetization #ModiFightsCo,"Pakistaniyo ka abbu 
Sare desh drohiyo ka bura time
AAP is the best except arvind kejriwal 
I don't like BJP except modi ji and sushma swaraj"
RT @ajaymaken: #JanAkroshMarch on #DemonetizationMassive Protest March yesterday!Great enthusiasm!Many thanks to Congress workers and l,Convenor at @DelhiPcc IT & Social Media Congress (West Delhi Lok Sabha) #ITBusiness | @INCindia | #Secular | @Ativs1 | Tweets are Personal | RTs not endorsement
#???_???_??_????? must  watch @ArvindKejriwal @AamAadmiParty #kejriwalFreeIndia #KejriKaJuth #demonetization https://t.co/5UBicSMvKT,"Just graduate (B. Tech ECE) . I love making fun with friends and new friends 
Follow me to know me"
RT @PahwaSandy: Dats true .Before #demonetization it was 7.30 which has been reduced to 4.25 @kapsology @ArvindKejriwal https://t.co/mYZ9WT,"God is everywhere,So pray anywhere."
RT @PahwaSandy: Dats true .Before #demonetization it was 7.30 which has been reduced to 4.25 @kapsology @ArvindKejriwal https://t.co/mYZ9WT,?????????? ?? ?? ?? ??? - ???????? ????????
"The latest Biz, $, Tech &amp; Geo News Bite! https://t.co/40TQSrJBYo #demonetization #queues","Director at Cato Associates - Business Management Consulting, Client/User Experience and Trading Software @ http://t.co/9GLTyN6ymp and @ http://t.co/ij6UIvjdDx"
RT @haqsmusings: #Modi's #demonetization : #India's GDP growth rate will crash to just 0.5% in 2nd half of FY17 via @forbes https://t.co/ii,
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,This is the day you will always remember as the day you almost caught Captain Jack Sparrow
India's #demonetization daring but an opportunityhttps://t.co/DAVvIPJ6E1t-an-opportunity/59868/,Analysing the Spanish and EU economies in a global context with exclusive insight from top market commentators
RT @ajaymaken: #JanAkroshMarch on #DemonetizationMassive Protest March yesterday!Great enthusiasm!Many thanks to Congress workers and l,"Truth is not defined by majority, it stands alone by itself. It always triumphs over a lie, just like darkness gives way to light RT?Endorsement. Views=Personal"
RT @PahwaSandy: Dats true .Before #demonetization it was 7.30 which has been reduced to 4.25 @kapsology @ArvindKejriwal https://t.co/mYZ9WT,
